V_in,Frequency,V_out,gain,f (log),gain (dB),,,
4,100,4,1,2,0,R,10,kilo Hertz
4,200,4,1,2.301029996,0,C,0.022,micro Farad
4,300,3.92,0.98,2.477121255,-0.175478486,cutoff,723,Hz
4,400,3.92,0.98,2.602059991,-0.175478486,,,
4,500,3.92,0.98,2.698970004,-0.175478486,,,
4,600,3.84,0.96,2.77815125,-0.354575339,,,
4,620,3.76,0.94,2.792391689,-0.537442928,,,
4,640,3.76,0.94,2.806179974,-0.537442928,,,
4,660,3.76,0.94,2.819543936,-0.537442928,,,
4,680,3.76,0.94,2.832508913,-0.537442928,,,
4,700,3.68,0.92,2.84509804,-0.724243453,,,
4,710,3.68,0.92,2.851258349,-0.724243453,,,
4,720,3.6,0.9,2.857332496,-0.915149811,,,
4,730,3.6,0.9,2.86332286,-0.915149811,,,
4,740,3.6,0.9,2.86923172,-0.915149811,,,
4,750,3.6,0.9,2.875061263,-0.915149811,,,
4,760,3.6,0.9,2.880813592,-0.915149811,,,
4,780,3.6,0.9,2.892094603,-0.915149811,,,
4,800,3.52,0.88,2.903089987,-1.110346557,,,
4,820,3.52,0.88,2.913813852,-1.110346557,,,
4,840,3.52,0.88,2.924279286,-1.110346557,,,
4,860,3.44,0.86,2.934498451,-1.310030975,,,
4,880,3.44,0.86,2.944482672,-1.310030975,,,
4,900,3.44,0.86,2.954242509,-1.310030975,,,
4,1000,3.28,0.82,3,-1.723722952,,,
4,1100,3.12,0.78,3.041392685,-2.158107946,,,
4,1200,2.96,0.74,3.079181246,-2.615365605,,,
4,1300,2.8,0.7,3.113943352,-3.0980392,,,
4,1400,2.64,0.66,3.146128036,-3.609121289,,,
4,1500,2.48,0.62,3.176091259,-4.15216621,,,
4,1600,2.48,0.62,3.204119983,-4.15216621,,,
4,1700,2.32,0.58,3.230448921,-4.731440129,,,
4,1800,2.16,0.54,3.255272505,-5.352124804,,,
4,1900,2.16,0.54,3.278753601,-5.352124804,,,
4,2000,2,0.5,3.301029996,-6.020599913,,,
4,2200,1.84,0.46,3.342422681,-6.744843366,,,
4,2400,1.68,0.42,3.380211242,-7.535014192,,,
4,2600,1.68,0.42,3.414973348,-7.535014192,,,
4,2800,1.52,0.38,3.447158031,-8.404328068,,,
4,3000,1.52,0.38,3.477121255,-8.404328068,,,
4,3500,1.24,0.31,3.544068044,-10.17276612,,,
4,4000,1.12,0.28,3.602059991,-11.05683937,,,
