V_in,F,V_out,Gain,F_log,Gain_dB
4.16,50,4.08,0.980769231,1.698970004,-0.168663351
4.16,100,4.08,0.980769231,2,-0.168663351
4.16,150,4.08,0.980769231,2.176091259,-0.168663351
4.16,200,4,0.961538462,2.301029996,-0.340666786
4.16,250,3.92,0.942307692,2.397940009,-0.516145272
4.16,300,3.84,0.923076923,2.477121255,-0.695242125
4.16,350,3.68,0.884615385,2.544068044,-1.064910239
4.16,400,3.6,0.865384615,2.602059991,-1.255816597
4.16,450,3.52,0.846153846,2.653212514,-1.451013343
4.16,500,3.44,0.826923077,2.698970004,-1.650697761
4.16,550,3.28,0.788461538,2.740362689,-2.064389738
4.16,600,3.2,0.769230769,2.77815125,-2.278867046
4.16,650,3.12,0.75,2.812913357,-2.498774732
4.16,670,3.04,0.730769231,2.826074803,-2.72439494
4.16,690,2.96,0.711538462,2.838849091,-2.956032391
4.16,700,2.96,0.711538462,2.84509804,-2.956032391
4.16,710,2.96,0.711538462,2.851258349,-2.956032391
4.16,720,2.96,0.711538462,2.857332496,-2.956032391
4.16,730,2.96,0.711538462,2.86332286,-2.956032391
4.16,750,2.88,0.692307692,2.875061263,-3.194016857
4.16,770,2.88,0.692307692,2.886490725,-3.194016857
4.16,800,2.8,0.673076923,2.903089987,-3.438705986
4.16,850,2.72,0.653846154,2.929418926,-3.690488532
4.16,900,2.64,0.634615385,2.954242509,-3.949788075
4.16,950,2.56,0.615384615,2.977723605,-4.217067306
4.16,1000,2.48,0.596153846,3,-4.492832996
4.16,1100,2.32,0.557692308,3.041392685,-5.072106915
4.16,1200,2.16,0.519230769,3.079181246,-5.69279159
4.16,1300,2.08,0.5,3.113943352,-6.020599913
4.16,1400,2,0.480769231,3.146128036,-6.361266699
4.16,1500,1.8,0.432692308,3.176091259,-7.27641651
4.16,1600,1.72,0.413461538,3.204119983,-7.671297674
4.16,1700,1.64,0.394230769,3.230448921,-8.084989652
4.16,1800,1.56,0.375,3.255272505,-8.519374645
4.16,1900,1.48,0.355769231,3.278753601,-8.976632305
4.16,2000,1.44,0.346153846,3.301029996,-9.214616771
4.16,2500,1.2,0.288461538,3.397940009,-10.79824169
4.16,3000,1,0.240384615,3.477121255,-12.38186661
4.16,3500,0.88,0.211538462,3.544068044,-13.49221317
4.16,4000,0.78,0.1875,3.602059991,-14.53997456
